name,total_citation,gen_citation,com_citation,copious_citation,self_citation,NGC,NGC(Archana),NCC,NCC(Archana),OC,OC(Archana),institute,domain,hindex,N-H-index(Archana),i10,N- i10(Archana)
A1013,24,7,15,0,0,1,0.708333,0.375,0.375,0.9167,1,The George Washington University,Systems and Networking,2,0.066666667,1,0.033333333
A1014,142,31,1,88,20,1,0.78169,1,0.992958,1,0.859155,Tel Aviv University,Machine Learning,7,0.233333333,1,0.033333333
A1015,830,753,15,51,5,0.0928,0.092771,1,0.981928,1,0.993976,Washington University in St. Louis  ,Data Science,26,0.866666667,27,0.9
A1016,622,77,86,447,6,1,0.876206,1,0.861736,1,0.990354,Washington University in St. Louis  ,Molecular Information Systems,14,0.466666667,19,0.633333333
A1017,141,86,41,8,5,0.3901,0.390071,0.7092,0.70922,1,0.964539,The George Washington University,Data Management and Visualization,6,0.2,0,0
A1018,235,151,18,13,24,0.3574,0.357447,1,0.923404,0.8766,0.897872,University of Auckland,Machine Learning,12,0.4,14,0.466666667
A1019,243,159,31,48,0,0.3457,0.345679,1,0.872428,1,1,Cornell University,Computing for Development,9,0.3,5,0.166666667
A102,35,15,12,1,5,1,0.571429,0.6571,0.657143,1,0.857143,Stanford University,Human Computer Interaction,2,0.066666667,0,0
A1020,867,587,112,72,61,0.323,0.322953,1,0.870819,1,0.929642,"University of California, Berkeley",Data Management and Visualization,27,0.9,28,0.933333333
A1021,347,79,218,39,10,1,0.772334,0.3718,0.371758,1,0.971182,University of Toronto,Security and Privacy,11,0.366666667,12,0.4
A1022,630,27,20,106,212,1,0.957143,1,0.968254,0.5794,0.663492,Indiana University,Theory of Computation,13,0.433333333,21,0.7
A1023,622,273,89,198,44,1,0.561093,1,0.856913,1,0.92926,University of Oxford,Human Computer Interaction,18,0.6,22,0.733333333
A1024,288,27,48,54,8,1,0.90625,1,0.833333,0.4757,0.972222,Cornell University,Data Management and Visualization,13,0.433333333,14,0.466666667
A1025,303,60,122,77,39,1,0.80198,0.5974,0.59736,1,0.871287,University of Massachusetts Amhers ,Ubiquitous Computing,12,0.4,15,0.5
A1026,919,826,33,34,10,0.1012,0.101197,1,0.964091,1,0.989119,Washington University in St. Louis  ,"Computer Graphics, Vision, Animation, and Game Science",15,0.5,17,0.566666667
A1027,293,216,41,0,30,0.2628,0.262799,1,0.860068,1,0.897611,University of Rochester,Computer Architecture,12,0.4,15,0.5
A1028,773,443,294,14,9,0.4269,0.426908,0.6197,0.619664,1,0.988357,The University of Chicago,Wireless and Sensor Systems,22,0.733333333,22,0.733333333
A1029,687,251,75,166,161,1,0.634643,1,0.89083,1,0.765648,University of Georgia ,Theory of Computation,13,0.433333333,22,0.733333333
A103,265,85,95,22,16,1,0.679245,0.6415,0.641509,0.8226,0.939623,Stanford University,Systems and Networking,12,0.4,14,0.466666667
A1030,493,111,187,88,10,1,0.774848,0.6207,0.62069,0.8032,0.979716,University of Toronto,Human Computer Interaction,20,0.666666667,20,0.666666667
A1031,410,355,10,13,30,0.1341,0.134146,1,0.97561,1,0.926829,Pontificia Universidad Catlica de Chile,Computing for Development,13,0.433333333,15,0.5
A1032,341,3,3,225,50,1,0.991202,1,0.991202,0.824,0.853372,Washington University in St. Louis,Wireless and Sensor Systems,9,0.3,1,0.033333333
A1033,360,200,116,15,9,0.4444,0.444444,0.6778,0.677778,1,0.975,University of Notre Dame,Natural Language Processing,10,0.333333333,4,0.133333333
A1034,246,64,152,9,10,1,0.739837,0.3821,0.382114,1,0.95935,The George Washington University,Theory of Computation,9,0.3,5,0.166666667
A1035,457,334,0,40,32,0.2691,0.269147,1,1,0.8884,0.929978,Indiana University,Security and Privacy,13,0.433333333,17,0.566666667
A1036,160,131,1,25,1,0.1812,0.18125,1,0.99375,1,0.99375,University of Iowa,Data Management and Visualization,9,0.3,8,0.266666667
A1037,906,849,11,1,13,0.0629,0.062914,1,0.987859,1,0.985651,Cornell University,Data Science,15,0.5,26,0.866666667
A1038,709,151,205,306,20,1,0.787024,0.7109,0.71086,1,0.971791,Stanford University,Computing for Development,23,0.766666667,25,0.833333333
A1039,88,14,16,1,37,1,0.840909,1,0.818182,0.7727,0.579545,Flinders University of South Australia,Ubiquitous Computing,5,0.166666667,3,0.1
A104,49,14,20,9,3,1,0.714286,0.5918,0.591837,1,0.938776,The University of Chicago,Computational & Synthetic Biology,5,0.166666667,2,0.066666667
A1040,697,271,204,73,129,1,0.611191,0.7073,0.707317,1,0.814921,Aarhus University,Computing for Development,15,0.5,19,0.633333333
A1041,145,76,15,46,2,0.4759,0.475862,1,0.896552,1,0.986207,University of New Brunswick,Computer Architecture,10,0.333333333,1,0.033333333
A1042,873,142,311,267,128,1,0.837342,0.6438,0.643757,1,0.853379,University of Massachusetts Amhers ,Computing for Development,28,0.933333333,28,0.933333333
A1043,310,134,100,67,2,1,0.567742,0.6774,0.677419,1,0.993548,University Aix-Marseille,Human Computer Interaction,14,0.466666667,15,0.5
A1044,304,201,80,12,9,0.3388,0.338816,0.7368,0.736842,1,0.970395,University of Georgia ,Systems and Networking,14,0.466666667,14,0.466666667
A1045,634,48,122,161,52,1,0.92429,1,0.807571,0.6041,0.917981,Pontificia Universidad Catlica de Chile,Machine Learning,20,0.666666667,23,0.766666667
A1046,928,682,150,60,10,0.2651,0.265086,1,0.838362,1,0.989224,University of Oxford,Human Computer Interaction,16,0.533333333,23,0.766666667
A1047,940,11,129,425,86,1,0.988298,1,0.862766,0.6926,0.908511,University of Oxford,Theory of Computation,16,0.533333333,23,0.766666667
A1048,937,498,101,63,39,0.4685,0.468517,1,0.892209,0.7481,0.958378,Boston University Graduate School,Data Science,21,0.7,21,0.7
A1049,17,9,7,0,0,0.4706,0.470588,0.5882,0.588235,1,1,Vrije Universiteit Amsterdam ,Security and Privacy,3,0.1,0,0
A105,768,688,40,30,7,0.1042,0.104167,1,0.947917,1,0.990885,"University of California, Berkeley",Artificial Intelligence,16,0.533333333,19,0.633333333
A1050,296,119,68,81,16,1,0.597973,1,0.77027,1,0.945946,University of New Brunswick,Ubiquitous Computing,8,0.266666667,4,0.133333333
A1051,10,8,1,0,0,0.2,0.2,1,0.9,0.9,1,Boston University Graduate School,Human Computer Interaction,2,0.066666667,0,0
A1052,955,775,63,70,40,0.1885,0.188482,1,0.934031,1,0.958115,Washington University in St. Louis  ,Molecular Information Systems,25,0.833333333,27,0.9
A1053,737,554,29,117,18,0.2483,0.248304,1,0.960651,1,0.975577,Pontificia Universidad Catlica de Chile,Data Management and Visualization,22,0.733333333,24,0.8
A1054,360,185,153,17,4,0.4861,0.486111,0.575,0.575,1,0.988889,University Aix-Marseille,Wireless and Sensor Systems,11,0.366666667,11,0.366666667
A1055,761,253,33,258,52,1,0.667543,1,0.956636,0.7832,0.931669,"University of California, San Diego",Computer Architecture,26,0.866666667,26,0.866666667
A1056,824,21,651,43,25,1,0.974515,0.21,0.209951,0.8981,0.96966,University of Washington,Artificial Intelligence,25,0.833333333,25,0.833333333
A1057,251,121,43,58,1,1,0.517928,1,0.828685,0.8884,0.996016,Pontificia Universidad Catlica de Chile,Systems and Networking,10,0.333333333,1,0.033333333
A1058,115,108,3,1,2,0.0609,0.06087,1,0.973913,1,0.982609,Vrije Universiteit Amsterdam ,Systems and Networking,7,0.233333333,2,0.066666667
A1059,48,27,19,0,0,0.4375,0.4375,0.6042,0.604167,1,1,Pontificia Universidad Catlica de Chile,Computational & Synthetic Biology,3,0.1,2,0.066666667
A106,464,112,270,6,23,1,0.758621,0.4181,0.418103,0.8858,0.950431,University of Notre Dame,Ubiquitous Computing,12,0.4,16,0.533333333
A1060,62,13,25,12,1,1,0.790323,0.5968,0.596774,0.8226,0.983871,University of Iowa,Human Computer Interaction,5,0.166666667,4,0.133333333
A1061,41,24,1,3,8,0.4146,0.414634,1,0.97561,0.878,0.804878,Stanford University,Molecular Information Systems,3,0.1,0,0
A1062,805,681,26,71,0,0.154,0.154037,1,0.967702,1,1,Stanford University,Security and Privacy,14,0.466666667,15,0.5
A1063,709,84,605,1,1,1,0.881523,0.1467,0.146685,1,0.99859,Boston University Graduate School,Artificial Intelligence,18,0.6,25,0.833333333
A1064,118,99,7,10,1,0.161,0.161017,1,0.940678,1,0.991525, The University of Chicago,Molecular Information Systems,5,0.166666667,0,0
A1065,131,22,19,54,14,1,0.832061,1,0.854962,0.8321,0.89313,Boston University Graduate School,Computing for Development,8,0.266666667,3,0.1
A1066,965,383,526,41,8,1,0.603109,0.4549,0.454922,1,0.99171,Washington University in St. Louis  ,Wireless and Sensor Systems,19,0.633333333,20,0.666666667
A1067,828,160,603,9,31,1,0.806763,0.2717,0.271739,1,0.96256,Indiana University,Machine Learning,14,0.466666667,27,0.9
A1068,670,237,97,35,210,1,0.646269,1,0.855224,0.8642,0.686567,Wesleyan University,Theory of Computation,16,0.533333333,18,0.6
A1069,189,45,116,24,3,1,0.761905,0.3862,0.386243,1,0.984127,"University of California, Riverside",Human Computer Interaction,12,0.4,12,0.4
A107,727,187,241,20,160,1,0.742779,0.6685,0.668501,0.8363,0.779917," University of California, Berkeley",Data Science,23,0.766666667,23,0.766666667
A1070,675,438,96,13,125,0.3511,0.351111,1,0.857778,1,0.814815,Indiana University,Systems and Networking,20,0.666666667,22,0.733333333
A1071,350,25,99,193,3,1,0.928571,0.7171,0.717143,0.9143,0.991429,University of New Brunswick,Wireless and Sensor Systems,12,0.4,15,0.5
A1072,799,405,17,175,47,0.4931,0.493116,1,0.978723,0.806,0.941176,University of Iowa,Molecular Information Systems,26,0.866666667,26,0.866666667
A1073,957,492,275,156,23,0.4859,0.485893,0.7126,0.712644,1,0.975967,The University of Chicago,Human Computer Interaction,22,0.733333333,23,0.766666667
A1074,237,53,132,8,20,1,0.776371,0.443,0.443038,0.8987,0.915612,Wesleyan University,Wireless and Sensor Systems,7,0.233333333,6,0.2
A1075,669,264,276,112,10,1,0.605381,0.5874,0.587444,1,0.985052,Massachusetts Institute of Technology ,Security and Privacy,21,0.7,22,0.733333333
A1076,875,149,655,2,28,1,0.829714,0.2514,0.251429,1,0.968,University of Washington,Machine Learning,16,0.533333333,22,0.733333333
A1077,610,546,27,28,2,0.1049,0.104918,1,0.955738,1,0.996721,Flinders University of South Australia,Systems and Networking,18,0.6,18,0.6
A1078,24,18,4,0,0,0.25,0.25,1,0.833333,0.9167,1,Washington University in St. Louis,Computer Architecture,3,0.1,2,0.066666667
A1079,997,241,382,53,274,1,0.758275,0.6169,0.616851,1,0.725176,"University of California, Los Angeles",Computing for Development,24,0.8,29,0.966666667
A108,705,313,75,244,42,1,0.556028,1,0.893617,1,0.940426,The University of Chicago,Molecular Information Systems,23,0.766666667,23,0.766666667
A1080,842,562,268,3,4,0.3325,0.332542,0.6817,0.68171,1,0.995249,Massachusetts Institute of Technology ,Computer Architecture,18,0.6,22,0.733333333
A1081,804,102,141,422,90,1,0.873134,1,0.824627,1,0.88806,Tel Aviv University,Data Science,21,0.7,23,0.766666667
A1082,837,345,299,118,38,1,0.587814,0.6428,0.642772,1,0.9546,Pontificia Universidad Catlica de Chile,Computer Architecture,18,0.6,24,0.8
A1083,887,63,290,196,230,1,0.928974,0.6731,0.673055,0.8782,0.740699,Massachusetts Institute of Technology,Computing for Development,23,0.766666667,28,0.933333333
A1084,734,216,241,88,95,1,0.705722,0.6717,0.671662,0.8719,0.870572,Stanford University,Computer Architecture,18,0.6,23,0.766666667
A1085,617,68,239,215,21,1,0.889789,0.6126,0.612642,0.8801,0.965964,University of Rochester,"Computer Graphics, Vision, Animation, and Game Science",19,0.633333333,21,0.7
A1086,410,193,55,24,29,1,0.529268,1,0.865854,0.7341,0.929268," University of California, Berkeley","Computer Graphics, Vision, Animation, and Game Science",18,0.6,19,0.633333333
A1087,791,575,157,1,33,0.2731,0.273072,1,0.801517,1,0.958281,The University of Chicago,Security and Privacy,25,0.833333333,25,0.833333333
A1088,970,609,160,174,18,0.3722,0.372165,1,0.835052,1,0.981443,The University of Chicago,Human Computer Interaction,26,0.866666667,30,1
A1089,804,533,178,55,29,0.3371,0.337065,1,0.778607,1,0.96393,"University of California, Berkeley  ",Security and Privacy,26,0.866666667,27,0.9
A109,873,89,181,301,260,1,0.898053,1,0.792669,1,0.702176,Rijksuniversiteit Groningen,Systems and Networking,26,0.866666667,28,0.933333333
A1090,711,506,136,31,33,0.2883,0.288326,1,0.80872,1,0.953586,University Aix-Marseille,Computer Architecture,20,0.666666667,22,0.733333333
A1091,754,588,46,119,0,0.2202,0.220159,1,0.938992,1,1,"University of California, Riverside",Wireless and Sensor Systems,22,0.733333333,24,0.8
A1092,825,381,254,89,77,1,0.538182,0.6921,0.692121,1,0.906667,Tel Aviv University,Molecular Information Systems,14,0.466666667,14,0.466666667
A1093,910,730,110,46,4,0.1978,0.197802,1,0.879121,1,0.995604,University of Washington,Machine Learning,27,0.9,28,0.933333333
A1094,360,322,18,2,6,0.1056,0.105556,1,0.95,1,0.983333,Washington University in St. Louis,Human Computer Interaction,11,0.366666667,13,0.433333333
A1095,360,287,67,4,1,0.2028,0.202778,1,0.813889,1,0.997222,University of Toronto,Systems and Networking,10,0.333333333,9,0.3
A1096,987,528,103,74,222,0.465,0.465046,1,0.895643,1,0.775076,Flinders University of South Australia,Molecular Information Systems,27,0.9,30,1
A1097,393,267,0,113,6,0.3206,0.320611,1,1,1,0.984733,University of Notre Dame,Computer Architecture,16,0.533333333,18,0.6
A1098,164,65,13,3,55,1,0.603659,1,0.920732,0.8293,0.664634,University of Arizona,Data Management and Visualization,9,0.3,4,0.133333333
A1099,580,185,72,129,29,1,0.681034,1,0.875862,0.7155,0.95,Vrije Universiteit Amsterdam ,Programming Languages and Software Engineering,15,0.5,17,0.566666667
A11,412,279,25,23,59,0.3228,0.322816,1,0.93932,1,0.856796, The University of Chicago,Natural Language Processing,11,0.366666667,19,0.633333333
A110,572,307,34,196,8,0.4633,0.463287,1,0.940559,1,0.986014,University of Toronto,Computational & Synthetic Biology,14,0.466666667,18,0.6
A1100,555,160,27,282,26,1,0.711712,1,0.951351,0.8919,0.953153,"University of California, Berkeley  ",Natural Language Processing,17,0.566666667,18,0.6
A1101,580,382,46,88,23,0.3414,0.341379,1,0.92069,1,0.960345,"University of California, Riverside",Data Science,16,0.533333333,22,0.733333333
A1102,66,25,35,3,0,1,0.621212,0.4697,0.469697,1,1,University of Oxford,Machine Learning,6,0.2,2,0.066666667
A1103,361,135,94,84,29,1,0.626039,0.7396,0.739612,1,0.919668,"University of California, Berkeley",Machine Learning,12,0.4,13,0.433333333
A1104,421,309,82,22,3,0.266,0.266033,1,0.805226,1,0.992874,University of Pittsburgh  ,Wireless and Sensor Systems,15,0.5,16,0.533333333
A1105,505,353,119,22,1,0.301,0.30099,1,0.764356,1,0.99802,Wesleyan University,Ubiquitous Computing,14,0.466666667,15,0.5
A1106,631,186,253,109,43,1,0.70523,0.599,0.599049,1,0.931854,Washington University in St. Louis,"Computer Graphics, Vision, Animation, and Game Science",20,0.666666667,24,0.8
A1107,867,87,49,293,374,1,0.899654,1,0.943483,0.9262,0.568627,University of Notre Dame,Data Management and Visualization,14,0.466666667,27,0.9
A1108,798,303,62,370,59,1,0.620301,1,0.922306,1,0.926065,The George Washington University,Systems and Networking,27,0.9,27,0.9
A1109,339,230,2,32,6,0.3215,0.321534,1,0.9941,0.7965,0.982301,Boston University Graduate School,Wireless and Sensor Systems,17,0.566666667,17,0.566666667
A111,591,503,45,14,19,0.1489,0.1489,1,0.923858,1,0.967851,"University of California, Berkeley",Natural Language Processing,21,0.7,21,0.7
A1110,881,138,448,176,47,1,0.84336,0.4915,0.491487,0.9183,0.946652,Aarhus University,Natural Language Processing,15,0.5,16,0.533333333
A1111,161,84,15,37,9,0.4783,0.478261,1,0.906832,0.9006,0.944099,University of Auckland,Wireless and Sensor Systems,7,0.233333333,0,0
A1112,235,202,25,5,1,0.1404,0.140426,1,0.893617,1,0.995745,University of Notre Dame,Wireless and Sensor Systems,9,0.3,8,0.266666667
A1113,930,77,157,567,80,1,0.917204,1,0.831183,1,0.913978,University of Rochester,Ubiquitous Computing,18,0.6,25,0.833333333
A1114,307,95,142,1,65,1,0.690554,0.5375,0.537459,1,0.788274,University of Toronto,Molecular Information Systems,8,0.266666667,4,0.133333333
A1115,370,68,194,16,9,1,0.816216,0.4757,0.475676,0.7757,0.975676,Oregon State University,Systems and Networking,9,0.3,1,0.033333333
A1116,475,62,67,170,92,1,0.869474,1,0.858947,0.8232,0.806316,Flinders University of South Australia,Theory of Computation,13,0.433333333,14,0.466666667
A1117,114,85,22,3,2,0.2544,0.254386,1,0.807018,1,0.982456,Washington University in St. Louis,Natural Language Processing,5,0.166666667,1,0.033333333
A1118,474,73,78,111,67,1,0.845992,1,0.835443,0.6941,0.85865,University of Toronto,Wireless and Sensor Systems,17,0.566666667,17,0.566666667
A1119,695,240,410,24,1,1,0.654676,0.4101,0.410072,1,0.998561,Washington University in St. Louis,Ubiquitous Computing,16,0.533333333,24,0.8
A112,989,191,284,199,82,1,0.806876,0.7128,0.712841,0.7644,0.917088,University of Oxford,Data Management and Visualization,23,0.766666667,24,0.8
A1120,693,554,26,49,1,0.2006,0.200577,1,0.962482,0.9091,0.998557,Aarhus University,Computing for Development,24,0.8,25,0.833333333
A1121,97,18,76,2,0,1,0.814433,0.2165,0.216495,1,1,University of Auckland,Human Computer Interaction,6,0.2,3,0.1
A1122,574,172,174,27,130,1,0.700348,0.6969,0.696864,0.8763,0.773519,University of Oxford,Human Computer Interaction,22,0.733333333,22,0.733333333
A1123,580,166,178,140,63,1,0.713793,0.6931,0.693103,1,0.891379,Washington University in St. Louis,Ubiquitous Computing,23,0.766666667,23,0.766666667
A1124,813,255,300,2,102,1,0.686347,0.631,0.630996,0.8106,0.874539,The University of Chicago,Computing for Development,25,0.833333333,26,0.866666667
A1125,327,192,78,12,3,0.4128,0.412844,1,0.761468,0.8716,0.990826,Pontificia Universidad Catlica de Chile,Wireless and Sensor Systems,16,0.533333333,17,0.566666667
A1126,617,153,365,86,12,1,0.752026,0.4084,0.408428,1,0.980551, The University of Chicago,Computational & Synthetic Biology,17,0.566666667,20,0.666666667
A1127,181,173,6,0,1,0.0442,0.044199,1,0.966851,1,0.994475,University of Massachusetts Amhers ,Machine Learning,8,0.266666667,0,0
A1128,70,60,2,6,1,0.1429,0.142857,1,0.971429,1,0.985714,University of Rochester,Data Science,4,0.133333333,2,0.066666667
A1129,182,20,89,39,25,1,0.89011,0.511,0.510989,1,0.862637,University of Notre Dame,"Computer Graphics, Vision, Animation, and Game Science",12,0.4,12,0.4
A113,702,356,221,32,76,0.4929,0.492877,0.6852,0.685185,1,0.891738,The George Washington University,Theory of Computation,17,0.566666667,21,0.7
A1130,148,49,15,0,23,1,0.668919,1,0.898649,0.5878,0.844595,Massachusetts Institute of Technology,"Computer Graphics, Vision, Animation, and Game Science",11,0.366666667,11,0.366666667
A1131,339,202,127,0,5,0.4041,0.40413,0.6254,0.625369,1,0.985251,University of Georgia ,Human Computer Interaction,15,0.5,15,0.5
A1132,109,101,3,4,0,0.0734,0.073394,1,0.972477,1,1,University of Georgia ,Natural Language Processing,9,0.3,5,0.166666667
A1133,595,414,43,125,12,0.3042,0.304202,1,0.927731,1,0.979832,Oregon State University,Security and Privacy,15,0.5,16,0.533333333
A1134,783,644,122,2,13,0.1775,0.177522,1,0.844189,1,0.983397,University of Toronto,Human Computer Interaction,20,0.666666667,25,0.833333333
A1135,280,199,58,19,1,0.2893,0.289286,1,0.792857,1,0.996429,University Aix-Marseille,Molecular Information Systems,15,0.5,15,0.5
A1136,538,429,0,103,5,0.2026,0.202602,1,1,1,0.990706,University of Rochester,Programming Languages and Software Engineering,19,0.633333333,19,0.633333333
A1137,686,311,29,251,92,1,0.546647,1,0.957726,1,0.865889,Flinders University of South Australia,Molecular Information Systems,22,0.733333333,22,0.733333333
A1138,248,244,1,2,0,0.0161,0.016129,1,0.995968,1,1,Northwestern University,Artificial Intelligence,7,0.233333333,6,0.2
A1139,606,230,311,51,7,1,0.620462,0.4868,0.486799,1,0.988449,The George Washington University,Ubiquitous Computing,17,0.566666667,19,0.633333333
A114,924,548,248,11,2,0.4069,0.406926,0.7316,0.731602,0.8755,0.997835," University of California, Berkeley",Data Management and Visualization,27,0.9,29,0.966666667
A1140,865,347,422,30,5,1,0.598844,0.5121,0.512139,0.9295,0.99422,Boston University Graduate School,Machine Learning,18,0.6,19,0.633333333
A1141,622,594,16,0,5,0.045,0.045016,1,0.974277,1,0.991961,Stanford University,Machine Learning,19,0.633333333,22,0.733333333
A1142,333,129,100,30,23,1,0.612613,0.6997,0.6997,0.8468,0.930931,Aarhus University,Machine Learning,9,0.3,2,0.066666667
A1143,422,196,65,103,35,1,0.535545,1,0.845972,1,0.917062,University of Pittsburgh  ,Machine Learning,12,0.4,14,0.466666667
A1144,321,228,72,15,3,0.2897,0.28972,1,0.775701,1,0.990654,Oregon State University,"Computer Graphics, Vision, Animation, and Game Science",11,0.366666667,12,0.4
A1145,271,135,93,42,0,1,0.501845,0.6568,0.656827,1,1,Tel Aviv University,Wireless and Sensor Systems,9,0.3,6,0.2
A1146,471,282,4,141,26,0.4013,0.401274,1,0.991507,1,0.944798,Boston University Graduate School,Theory of Computation,18,0.6,20,0.666666667
A1147,951,810,50,13,2,0.1483,0.148265,1,0.947424,0.9201,0.997897,The George Washington University,Machine Learning,23,0.766666667,27,0.9
A1148,17,12,2,1,0,0.2941,0.294118,1,0.882353,0.8824,1,University of Auckland,Theory of Computation,3,0.1,1,0.033333333
A1149,861,107,399,181,88,1,0.875726,0.5366,0.536585,0.9001,0.897793,University Aix-Marseille,Wireless and Sensor Systems,19,0.633333333,21,0.7
A115,215,184,20,4,6,0.1442,0.144186,1,0.906977,1,0.972093,Massachusetts Institute of Technology,Computational & Synthetic Biology,7,0.233333333,3,0.1
A1150,727,693,29,3,0,0.0468,0.046768,1,0.96011,1,1,"University of California, Irvine ",Data Management and Visualization,22,0.733333333,25,0.833333333
A1151,985,710,185,20,13,0.2792,0.279188,1,0.812183,1,0.986802,Massachusetts Institute of Technology ,Machine Learning,19,0.633333333,30,1
A1152,439,249,41,46,13,0.4328,0.432802,1,0.906606,0.795,0.970387,University of Notre Dame,Data Management and Visualization,11,0.366666667,13,0.433333333
A1153,700,61,99,84,377,1,0.912857,1,0.858571,0.8871,0.461429,Oregon State University,Computer Architecture,23,0.766666667,24,0.8
A1154,792,6,255,317,201,1,0.992424,0.678,0.67803,1,0.746212,"University of California, Berkeley  ",Natural Language Processing,19,0.633333333,22,0.733333333
A1155,476,16,317,60,32,1,0.966387,0.334,0.334034,0.8929,0.932773,University of Notre Dame,Programming Languages and Software Engineering,11,0.366666667,20,0.666666667
A1156,224,17,161,14,2,1,0.924107,0.2812,0.28125,0.8661,0.991071,University Aix-Marseille,Molecular Information Systems,12,0.4,12,0.4
A1157,54,3,9,17,10,1,0.944444,1,0.833333,0.7222,0.814815,Tel Aviv University,Wireless and Sensor Systems,5,0.166666667,2,0.066666667
A1158,636,514,70,48,3,0.1918,0.191824,1,0.889937,1,0.995283,University of Auckland,Data Management and Visualization,23,0.766666667,23,0.766666667
A1159,21,7,6,7,0,1,0.666667,0.7143,0.714286,1,1,"University of California, Berkeley  ",Natural Language Processing,2,0.066666667,0,0
A116,912,467,275,119,48,0.4879,0.487939,0.6985,0.698465,1,0.947368," University of California, Berkeley",Computational & Synthetic Biology,18,0.6,27,0.9
A1160,875,468,246,56,4,0.4651,0.465143,0.7189,0.718857,0.8846,0.995429,University of Washington,Data Management and Visualization,17,0.566666667,18,0.6
A1161,870,355,331,62,11,1,0.591954,0.6195,0.61954,0.8724,0.987356,Washington University in St. Louis,Molecular Information Systems,17,0.566666667,20,0.666666667
A1162,222,114,50,29,0,0.4865,0.486486,1,0.774775,0.8694,1, The University of Chicago,Data Management and Visualization,9,0.3,8,0.266666667
A1163,720,12,661,34,12,1,0.983333,0.0819,0.081944,1,0.983333,University of Oxford,Data Science,25,0.833333333,25,0.833333333
A1164,996,391,134,317,24,1,0.60743,1,0.865462,0.8695,0.975904,"University of California, Irvine ",Computing for Development,24,0.8,25,0.833333333
A1165,35,9,17,8,0,1,0.742857,0.5143,0.514286,1,1,University of Georgia ,Ubiquitous Computing,3,0.1,2,0.066666667
A1166,223,158,16,46,0,0.2915,0.29148,1,0.928251,1,1,University of Massachusetts Amhers ,Theory of Computation,7,0.233333333,2,0.066666667
A1167,492,152,230,26,42,1,0.691057,0.5325,0.53252,0.9146,0.914634,University of Pittsburgh  ,"Computer Graphics, Vision, Animation, and Game Science",16,0.533333333,18,0.6
A1168,654,236,413,0,0,1,0.639144,0.3685,0.368502,1,1,University of Arizona,Computing for Development,14,0.466666667,23,0.766666667
A1169,818,675,0,56,42,0.1748,0.174817,1,1,1,0.948655,Wesleyan University,Theory of Computation,20,0.666666667,23,0.766666667
A117,497,254,77,66,26,0.4889,0.488934,1,0.84507,0.8511,0.947686,Washington University in St. Louis  ,Natural Language Processing,13,0.433333333,21,0.7
A1170,785,324,20,110,250,1,0.587261,1,0.974522,0.8968,0.681529,Washington University in St. Louis,Ubiquitous Computing,26,0.866666667,26,0.866666667
